1,purple_200,purple_200,
2,green_230,purple_230,
3,blue_200,green_200,
4,black_230,blue_230,
5,purple_230,green_230,
6,blue_215,green_215,
7,blue_200,black_200,
8,black_230,red_230,
9,red_200,red_200,
10,green_230,black_230,
11,red_215,purple_215,
12,blue_215,red_215,
13,black_200,blue_200,
14,green_200,green_200,
15,red_215,black_215,
16,black_215,purple_215,
17,blue_215,black_215,
18,red_200,blue_200,
19,purple_215,red_215,
20,green_215,blue_215,
21,blue_230,purple_230,
22,red_230,green_230,
23,black_200,red_200,
24,black_230,red_230,
25,purple_200,green_200,
26,red_230,purple_230,
27,blue_230,blue_230,
28,purple_200,black_200,
29,black_215,purple_215,
30,green_215,green_215,
